DEBUG:root: tick:     3, AC:     3999, AR:        4, DR:        0, PC:      0x9, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    51, AC:        2, AR:        0, DR:        2, PC:     0x26, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    52, AC:        2, AR:        2, DR:        2, PC:     0x27, rax:        2, rcx:        0, rdx:        2, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    54, AC:        0, AR:        2, DR:        2, PC:     0x28, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    57, AC:     3998, AR:        4, DR:        0, PC:     0x29, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3998, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    58, AC:        0, AR:        0, DR:        0, PC:     0x2a, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3998, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    61, AC:     3999, AR:        4, DR:        0, PC:     0x2b, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    62, AC:        0, AR:        0, DR:        0, PC:     0x2c, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    63, AC:        0, AR:        0, DR:       47, PC:     0x2f, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    64, AC:        1, AR:        0, DR:        1, PC:     0x30, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    67, AC:     4000, AR:        4, DR:        0, PC:     0x31, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    68, AC:        1, AR:        1, DR:        0, PC:     0x32, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    69, AC:        1, AR:        1, DR:        0, PC:     0x33, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    72, AC:     3999, AR:        4, DR:        0, PC:     0x34, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    73, AC:        2, AR:        0, DR:        2, PC:     0x35, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    74, AC:        0, AR:        2, DR:        0, PC:     0x36, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    76, AC:        2, AR:        2, DR:        0, PC:     0x37, rax:        2, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    79, AC:     4000, AR:        4, DR:        0, PC:     0x38, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    80, AC:        2, AR:        4, DR:        2, PC:     0x39, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    80, AC:        2, AR:        4, DR:        2, PC:     0x3a, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    81, AC:        2, AR:        4, DR:        2, PC:     0x3a, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    84, AC:     3999, AR:        4, DR:        2, PC:     0x3b, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    85, AC:        2, AR:        0, DR:        2, PC:     0x3c, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    87, AC:        0, AR:        0, DR:       31, PC:     0x3d, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    88, AC:       -1, AR:        0, DR:        1, PC:     0x3e, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z: False
DEBUG:root: tick:    89, AC:       -1, AR:        0, DR:        1, PC:     0x3f, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z: False
DEBUG:root: tick:    90, AC:        2, AR:        8, DR:        2, PC:     0x40, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root:Out: 2
DEBUG:root: tick:    91, AC:        2, AR:        8, DR:        2, PC:     0x41, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    92, AC:        2, AR:        8, DR:       75, PC:     0x4b, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    95, AC:     4000, AR:        4, DR:        0, PC:     0x4c, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    95, AC:     4000, AR:        4, DR:        0, PC:     0x4d, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    96, AC:     4000, AR:        4, DR:        0, PC:     0x4d, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    97, AC:     4000, AR:        4, DR:        8, PC:      0x8, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   100, AC:     3999, AR:        4, DR:        0, PC:      0x9, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   101, AC:  4000000, AR:        0, DR:  4000000, PC:      0xa, rax:  4000000, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   102, AC:        2, AR:        2, DR:        2, PC:      0xb, rax:  4000000, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   103, AC:  3999998, AR:  4000000, DR:        2, PC:      0xc, rax:  4000000, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   104, AC:  3999998, AR:  4000000, DR:       15, PC:      0xf, rax:  4000000, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   105, AC:        1, AR:        0, DR:        1, PC:     0x10, rax:        1, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   108, AC:     4000, AR:        4, DR:        0, PC:     0x11, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   109, AC:        1, AR:        1, DR:        0, PC:     0x12, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   110, AC:        1, AR:        1, DR:        0, PC:     0x13, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   113, AC:     3999, AR:        4, DR:        0, PC:     0x14, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   114, AC:        2, AR:        2, DR:        2, PC:     0x15, rax:        1, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   115, AC:        2, AR:        3, DR:        2, PC:     0x16, rax:        1, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   118, AC:     4000, AR:        4, DR:        0, PC:     0x17, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   121, AC:     3999, AR:        4, DR:        0, PC:     0x18, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   122, AC:        1, AR:        0, DR:        1, PC:     0x19, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   123, AC:        2, AR:        2, DR:        2, PC:     0x1a, rax:        1, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   125, AC:        3, AR:        2, DR:        2, PC:     0x1b, rax:        3, rcx:        0, rdx:        3, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   128, AC:     4000, AR:        4, DR:        0, PC:     0x1c, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   129, AC:        3, AR:        2, DR:        3, PC:     0x1d, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   132, AC:     3999, AR:        4, DR:        0, PC:     0x1e, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   133, AC:        2, AR:        2, DR:        2, PC:     0x1f, rax:        3, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   134, AC:        2, AR:        1, DR:        2, PC:     0x20, rax:        3, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   137, AC:     4000, AR:        4, DR:        0, PC:     0x21, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   140, AC:     3999, AR:        4, DR:        0, PC:     0x22, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   141, AC:        0, AR:        0, DR:        0, PC:     0x23, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p : False, z:  True
DEBUG:root: tick:   144, AC:     3998, AR:        4, DR:        0, PC:     0x24, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3998, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   147, AC:     3997, AR:        4, DR:        0, PC:     0x25, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   148, AC:        3, AR:        0, DR:        3, PC:     0x26, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   149, AC:        2, AR:        2, DR:        2, PC:     0x27, rax:        3, rcx:        0, rdx:        2, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   151, AC:        1, AR:        2, DR:        2, PC:     0x28, rax:        1, rcx:        0, rdx:        1, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   154, AC:     3998, AR:        4, DR:        0, PC:     0x29, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3998, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   155, AC:        0, AR:        0, DR:        0, PC:     0x2a, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3998, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p : False, z:  True
DEBUG:root: tick:   158, AC:     3999, AR:        4, DR:        0, PC:     0x2b, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   159, AC:        0, AR:        0, DR:        0, PC:     0x2c, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p : False, z:  True
DEBUG:root: tick:   160, AC:        0, AR:        0, DR:       47, PC:     0x2f, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p : False, z:  True
DEBUG:root: tick:   161, AC:        1, AR:        0, DR:        1, PC:     0x30, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   164, AC:     4000, AR:        4, DR:        0, PC:     0x31, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   165, AC:        1, AR:        1, DR:        0, PC:     0x32, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   166, AC:        1, AR:        1, DR:        0, PC:     0x33, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   169, AC:     3999, AR:        4, DR:        0, PC:     0x34, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   170, AC:        3, AR:        0, DR:        3, PC:     0x35, rax:        3, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   171, AC:        2, AR:        2, DR:        2, PC:     0x36, rax:        3, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   173, AC:        5, AR:        2, DR:        2, PC:     0x37, rax:        5, rcx:        0, rdx:        5, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
DEBUG:root: tick:   176, AC:     4000, AR:        4, DR:        0, PC:     0x38, rax:        5, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        2,  interrupt: IOState.Lock, buffer:        0, p :  True, z: False
